RestrauntID,Cuisine,Rating,NumberOfReviews
ojbH3wnRu050hRhkmoxRiA,chinese,4.0,404
croh2zWlbPyCQTNS11klcg,chinese,4.0,43
xq0cX_DgxiJMXwhmEl9kUA,chinese,4.0,1036
FXhSEZfIqjMZh4hR0_8jMQ,chinese,4.0,289
0dDCDQz7DrKkSvu9h2hcQw,chinese,4.5,66
a93NwZxjkPQydJxR42oPyg,chinese,3.5,12
6tASYtO9zOrXr8-LPnAToQ,chinese,4.0,324
bVkjBJlAIwKAj9Aw1KVWjA,chinese,4.0,643
wfhMIiMh2A2psCGONOVSlg,chinese,4.0,991
xCHApgtkLpEyh0lz-uhZvg,chinese,4.0,187
w3wKbjuNCZnYoPOr-FCk5w,chinese,4.5,52
lynQoI3w_pzYfHGeuUU-Qg,chinese,4.5,475
0CjK3esfpFcxIopebzjFxA,chinese,4.0,5034
oowNI_aUmGEFa_VW8BFgRg,chinese,4.0,148
SBJHGtqJyfaU47NPjGAU6A,chinese,4.0,67
dDXtga5Kgo5B1twdezcZJA,chinese,4.0,270
lQ8Fzgji9qmgRXkFcvAsVQ,chinese,4.0,179
HScFap2SwbUlfC-QXVkxFA,chinese,4.0,1303
i6RhqnCJ_oUfTu5LikGXUg,chinese,5.0,7
5YBYGnZtTGJABXC4Jahhzg,chinese,4.0,156
jc7lVTvmYMIK5RNpENtS6w,chinese,4.0,95
ZCAkVl5SeCDeBWg_xjfYeg,chinese,4.0,53
6hacsz7FUwprKTjJb6KFog,chinese,3.5,1258
BPErPpKSNluwcjbKRgze3w,chinese,4.0,385
eVDV1ALwvre01Xo8v6BCoQ,chinese,4.0,85
gJXNSJ9VXTuCFmp_Kl9TVQ,chinese,4.0,65
SVJNB9LqI13jtVyKMZVqeg,chinese,3.5,375
0vg2Z-HPwkyVVX613j2ysg,chinese,4.5,260
Kqb7MjTPNkjPMoFRd-rWpw,chinese,4.0,382
0k678lCWQyReNi0lARlOmw,chinese,4.0,467
Aux2Mp7bGnF3S6h60ab3iQ,chinese,4.0,26
Bwj7nzWphGV6FaZ_ygTSOg,chinese,3.5,112
sfsjk1h50ooC2ioY7m48gw,chinese,4.0,203
tsHdT1GDibhYYA0JA7Z9tg,chinese,4.0,268
douRKPVxuo8BEOkMxgVl_w,chinese,4.0,49
-Bh1oJYcf7XmmznR91jX_A,chinese,4.0,23
lgS9lE0Y9FhzT68zCj5QCw,chinese,3.5,166
LpVbI-E9C-CSp7WhU5h2Iw,chinese,4.5,421
7ZQSMqWzvXMSetXnii2fBg,chinese,4.0,347
A-ert0jDRBfku9ogyW_mEg,chinese,4.5,169
Gd3_3mxOvj2xYiqysV8rbQ,chinese,4.0,1457
R7EGjHWw0tNheY6-ahH8fQ,chinese,4.5,327
qGgQMVExGERqGhZNDM2ROg,chinese,3.5,448
I_Va7AZSHpEwX75S-3hHLQ,chinese,4.0,118
H1jops1lmuhrq9lP7lEGJQ,chinese,4.0,1044
lSrdxUNxyMgh5YU903JUiw,chinese,4.0,97
R26zweQ8-xoZS7iHkXQOvw,chinese,4.0,1289
MdDj13LgIs0WdbIdiyqB7Q,chinese,4.0,165
neQM053ovAOrf1sVSAPI9w,chinese,4.0,768
ynB8T3htx8s5V0YV8gVPGA,chinese,4.0,357
jwKPVep2qZYBUA6SLLQPvg,chinese,3.5,174
_WXa2M3gz2Mi0ys3s88nDw,chinese,4.0,145
uiQ6p_3biJD5S4PrF58t_g,chinese,3.5,837
wurhcLKXD4YJ5XfTxpbE5Q,chinese,3.5,386
YdAtCf_13UK-uvXuOMrhNg,chinese,4.0,139
pBNMZp_tKCAfRNx7-ybcHQ,chinese,4.5,185
-lgNzAEyFr8LCTuBTWnAMg,chinese,4.0,122
